Workstream,Date for the event,Event Title,Location [Venue/Virtual],Time,Target Audience [Who is attending?],Objectives [Key goal of event],Responsible Team [Lead team/person],Workstreams needed,Procurement and Finance needs
Incubation and Acceleration,2025-08-20 0:00:00,Cocreation workshop for ESOs that submitted concept notes,Venue TBD,8:30 a.m. to 5:00 p.m,ESOs that submitted concept notes.,"·	To help participants understand the 10X program and what it seeks to achieve in terms of the objectives, pathways to work, impact and the different components
·	Enable participants understand what is expected of them in their proposals in terms of: impact, intervention design, sustainability, finance, target audience.
",Incubator and Accelerator Process Lead,All,Venue and meals
,2025-09-10 0:00:00,Follow on co creation between ESOs and platform providers.,Outbox Boardroom,8:30 a.m. to 5:00 p.m," ESOs
Platform providers",To deepen collaboration between Entrepreneurship Support Organisations (ESOs) and platform providers.,Incubator and Accelerator Process Lead,All,Venue and meals
,2025-09-15 0:00:00,Due diligence for the second call of ESOs,"Western
Eastern
Northern",08:00 a.m to 5:00 p.m,ESOs that have been passed the evaluation stage,"To assess the operational capacity, governance standards, financial integrity, and strategic alignment of applicant ESOs in order to ensure that selected organisations are capable of delivering high-impact support to entrepreneurs",Incubation and Acceleration Lead and the Partner Success Lead,All,"Car, fuel, accomodation and per diem"
,2025-09-30 0:00:00,Negotiations with ESOs that have passed the due diligence stage,Outbox Boardroom,08:00 a.m to 5:00 p.m,ESOs that have passed the due diligence stage,"Clarify the ESO’s role, target outcomes, and support mechanisms and align on 
budget allocations, staffing, and infrastructure readiness.","Incubation and Acceleration Lead, ",Finance Lead and the Partner Success Lead,Meals
,2025-10-01 0:00:00,ESO Onboarding ,"Western
Eastern
Northern",08:00 a.m to 5:00 p.m,ESOs that have signed contracts,"To equip selected Entrepreneurship Support Organisations (ESOs) with the necessary tools, knowledge, and alignment to effectively implement the",Incubation and Acceleration Lead ,All,"Venue, meals"
,2025-10-06 0:00:00,Inception report discussions,Kampala (TBD),08:00 a.m to 5:00 p.m,ESOs that have signed contracts,"To ensure alignment with each ESO, ensuring that they understand what the programme is all about, and that their proposed plan is both practical and aligned with our shared goals. ",Incubation and Acceleration Lead,All,"Venue, meals"
,2025-09-23 0:00:00,Pause and Reflect with all ESOs ,Kampala (TBD),08:00 a.m to 5:00 p.m,"The first signed 8 ESOs 
","To create a dedicated space for ESOs to step back from day-to-day implementation, share experiences, and collectively reflect on progress, challenges, and lessons learned.",Incubation and Acceleration Lead,All,"Venue, meals"
Communications,2025-09-11 0:00:00,10X Program ESOs Comms Capacity Building Session,Online,9:00 am to 11:00 a.m,Comms leads for ESOs,"1.	Build a shared understanding of 10X Program communications priorities
– Ensure all partners are aligned on the program’s core messages, safeguarding language, and inclusive framing.
2.	Enhance consistency and visibility of the 10X Program
– Establish clear guidelines for branding, social media use, and reporting to ensure coherence across all communication channels.
3.	Foster knowledge exchange
– Provide a platform for partners to share best practices, challenges, and innovative communication approaches from their contexts.
",Violet Nakiggwe. Comms Lead,,
,2025-09-15 0:00:00,Review of Outbox safeguarding assessment tool,TBD,8:30 am to 5:00 pm,Selected staff,Work with IIDC on the updated safeguarding assessment,Rahmah Nampala,Selected,
,2025-09-18 0:00:00,Disability Inclusion Training for all 10X program staff,TBD,8:30 am to 5:00 pm,All partner staff and their downstream partners,,Rahmah Nampala,All,
,2025-09-19 0:00:00,Disability Inclusion Training for all 10X program staff,TBD,8:30 am to 5:00 pm,All partner staff and their downstream partners,,Rahmah Nampala,All,
,2025-09-23 0:00:00,Disability Inclusion Training for all 10X program staff,TBD,8:30 am to 5:00 pm,All partner staff and their downstream partners,,Rahmah Nampala,All,
,2025-09-24 0:00:00,Disability Inclusion Training for all 10X program staff,TBD,8:30 am to 5:00 pm,All partner staff and their downstream partners,,Rahmah Nampala,All,
,2025-09-25 0:00:00,10X Inclusion Community of Practice meeting,TBD,8:30 am to 5:00 pm,Gender focal persons,,Rahmah Nampala,Gender unit,
Learning Workstream,2025-09-26 0:00:00,Review of the 10X Program Specialized and accelerator curriculum,Kampala (TBD),8:30 am to 5:00 pm,ESO focal persons & Learning teams,ESO Specialized Curriculum review,Valerie Kyolaba,"Partner Success Lead, Accelerator & Process Lead",Venue and meals
