Code,Activity,Tasks,Deliverables,Dependencies,Start date,End date,Reviced date,Unnamed: 8,Progress,Priority,Unnamed: 11
2.1.6.6,Due diligence of the shortlisted ESOs,"Conduct due diligence of the selected ESOs to determine the legal, financial, programmatic capacity.","Approved Due diligence report, with a Go/ No-Go Decision",,2025-08-01 0:00:00,2025-08-30 0:00:00,2025-09-20 0:00:00,The regional ESOs did not apply in the first call for proposals which required a scoping visit to understand their uniqueness and refine the RFP. The due diligence is scheduled for 22nd to 26th Sept.,In Progress,High,
,,Work with the FMCS partner on the due diligence report. ,,,,,,,,,
,,Final selection of ESOs to be contracted based on the due diligence report. ,Selected ESOs to be contracted,,,,,,,,
,,Confirmation with the ESOs on the Go/No- Go decision and the next steps. ,ESOs informed about the Go/No- Go decision and the next steps. ,,,,,,,,
2.1.6.7,"Conduct negotiations with selected ESOs, develop work plans.",Discuss draft budgets submitted by ESOs in line with program standards.,6 Spend plans and work plans ,,2025-08-18 0:00:00,2025-09-17 0:00:00,2025-09-30 0:00:00,,In Progress,High,
,,Finalize and validate ESO budgets for approval.,,,,,,,,,
2.1.6.8,Work Plan Development,Jointly develop ESO-specific work plans with clear timelines and milestones.,Approved workplans,,,,,,,,
,,Validation & Approval  of the final work plans and budgets,,,,,,,,,
2.1.6.8,Formalize partnerships through signing contracts with 6 additional ESOs onto the 10X Program focused on supporting women entrepreneurs ,Prepare partnership frameworks for each of the 6 ESOs,6 Signed Contracts with the ESOs.,,2025-09-01 0:00:00,2025-09-30 0:00:00,2025-10-10 0:00:00,,In Progress,High,
,,Share frameworks for review with ESOs and Legal team ,,,,,,,,,
,,Signing of the frameworks with the ESOs. ,,,,,,,,,
2.1.6.9,"ESO Onboarding and Introduction to incubation and acceleration frameworks (curriculum, due diligence, digital economy integration).","Design orientation package (process framework, digital tools, curriculum guides, reporting templates, Memo).",A master onboarding deck and memo approved by the Program Lead.  ,,,,,,,,
,,Review Onboarding Decks from OUL Work streams.,Workstream presentations approved,,,,,,,,
,,"Conduct ESO induction workshop on program objectives, delivery model, and performance expectations. Initial on boarding trainings on Safe guarding, Gender, Results Measurement, Communications, Learning Design, Incubation and Acceleration with the contracted ESOs. ",Onboarding workshop done,,,,,,,,
,,"Share standardized tools (reporting templates, MSME selection criteria, MEL framework).",Standardized tools shared,,,,,,,,
2.1.6.10,Inception report and Co-design of interventions with outbox,Co-create detailed incubation/acceleration implementation plans with each ESO,,,,,,,,,
,,Review of the shared Inception reports ensuring that there is alignment with Program goals. ,,,,,,,,,
,,,,,,,,,,,
,,Launch incubation and acceleration cohorts through partner ESOs.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,In Progress,High,
2.1.8,"2.1.8  Deliver the approved digital economy incubator/accelerator initiatives to MSMEs with linkages to digital platform providers, finance and bundled with access to devices. Run women only focused cohorts with a select group of ESOs. Each ESO will deliver at least two incubator/accelerator initiatives per year targeting its community of entrepreneurs.",,,,,,,,,,
2.1.8.2,Roll out of the first and second cohorts by the ESOs to identify the MSMEs to be on boarded for the Acceleration Program.,The calls will launched on the Outbox & partner websites with clear activity timelines.,"21,040 young women in outreach",,2025-05-19 0:00:00,2026-07-23 0:00:00,,,In Progress,High,"This activity was dependent on ESOs being contracted which was delayed and only took place in May, this meant that the activity needed to rolled over "
,,"Outbox will support the ESOs to establish a system to track application submissions, engagement metrics, and a report summarizing the outreach efforts, including the number of applications received and initial analysis of applicant quality and diversity. Plan, execute and monitor MSME digitization campaign, including awareness, onboarding, education, and ongoing usage support.",,,,,,,,,
,,Provide oversight to the ESOs on the identify & selection of suitable businesses as per the agreed criteria to join the first and second cohorts of the accelerator.,,,,,,,,,
,,Outbox will provide the tools for assessment & evaluation and the independent team for selection of the final businesses.                                                                                                  Outbox will also carry out overall QA of the recommended pipeline by the ESOs. Reviewing the course content and  updating the learning Management System  based on learnings from previous cohorts.,,,,,,,,,
2.1.8.4,Offer tailored support to the MSMEs based on their Growth plans,ESOs build MSMEs capacity to complete the foundation course.,"14,500 MSMEs have been supported through the Acceleration Program",,2025-07-01 0:00:00,2026-06-30 0:00:00,,,In Progress,High,
,,Due diligence & needs assessment by ESOs for the MSMEs while maintaining safeguarding guidelines.,"14,728  Youth in Work",,,,,,,,
,,"ESOs offer tailored support and technical assistance that enables the MSMEs to access digital platforms, credit, market and improved business management practices.",,,,,,,,,
2.1.8.7,Identify and partner with TVETs with computers that can be used by entrepreneurs for learning,"In partnership with Refactory and Outbox, identify TVET institutions with computer labs that can host entrepreneurs for practical DE training.",Serviced IT infrastructure of  6 selected TVETs equipped for MSME digital training,,2026-01-01 0:00:00,2026-02-27 0:00:00,,,Not Started,Medium,This activity is rolled over to Year 2 was dependent on Refactory identifying TVETS to develop programs after it completed the TVET capacity assessment
,,Map and assess TVETs with existing IT infrastructure,,,,,,,,,
,,Engage selected institutions,,,,,,,,,
,,Confirm availability and readiness for MSME use,,,,,,,,,
,,Facilitate basic upgrades or support where necessary,,,,,,,,,
